# Cumulative PET Volume Histogram (PVH)
# PET bin unit: Bq/mL | Volume unit: mL

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
346692.187500,0.294399,0.000000,0.294399,0.294399,0.000000,0.000000
351029.125000,0.273371,0.000000,0.273371,0.273371,0.000000,0.000000
355366.062500,0.259352,0.000000,0.259352,0.259352,0.000000,0.000000
359703.000000,0.231314,0.000000,0.231314,0.231314,0.000000,0.000000
364039.968750,0.210285,0.000000,0.210285,0.210285,0.000000,0.000000
368376.906250,0.203276,0.000000,0.203276,0.203276,0.000000,0.000000
372713.843750,0.175238,0.000000,0.175238,0.175238,0.000000,0.000000
377050.781250,0.161219,0.000000,0.161219,0.161219,0.000000,0.000000
381387.718750,0.140190,0.000000,0.140190,0.140190,0.000000,0.000000
385724.656250,0.119162,0.000000,0.119162,0.119162,0.000000,0.000000
390061.593750,0.091124,0.000000,0.091124,0.091124,0.000000,0.000000
394398.531250,0.077105,0.000000,0.077105,0.077105,0.000000,0.000000
398735.468750,0.063086,0.000000,0.063086,0.063086,0.000000,0.000000
403072.406250,0.042057,0.000000,0.042057,0.042057,0.000000,0.000000
407409.343750,0.028038,0.000000,0.028038,0.028038,0.000000,0.000000
411746.312500,0.014019,0.000000,0.014019,0.014019,0.000000,0.000000
