"# DVH Data - Dose in Gy, Differential Volume in cm3"
# Generated from DICOM RT data

Dose_Gy,BODY_1_Volume_cm3,CouchSurface_11_Volume_cm3,override_1_Volume_cm3,PTV_5mm_4cm_sphere_Volume_cm3,.GTV_point_source_Volume_cm3,OAR_2_1_Volume_cm3
0.030106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.030775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.031444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.032113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.032782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.033451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.034120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.034789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.035458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.036127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.036796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.037465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.038134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.038803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.039472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.040141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.040810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.041479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.042148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.042817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.043486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.044155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.044824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.045493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.046162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.046831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.047500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.048169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.048838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.049507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.050176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.050845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.051514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.052183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.052852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.053521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.054190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.054859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.055528,-2.5651,0.0000,0.0000,0.0000,0.0000,0.0000
0.056197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.056866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.057535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.058204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.058873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.059542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.060211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.060880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.061549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.062218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.062887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.063556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.064225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.064894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.065564,-30.2290,0.0000,0.0000,0.0000,0.0000,0.0000
0.066233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.066902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.067571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.068240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.068909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.069578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.070247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.070916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.071585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.072254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.072923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.073592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.074261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.074930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.075599,-70.7616,0.0000,0.0000,0.0000,0.0000,0.0000
0.076268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.076937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.077606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.078275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.078944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.079613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.080282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.080951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.081620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.082289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.082958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.083627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.084296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.084965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.085634,-120.5227,0.0000,0.0000,0.0000,0.0000,0.0000
0.086303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.086972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.087641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.088310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.088979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.089648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.090317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
