GY,.GTV_point_source_Diff,OAR_2_1_Diff,PTV_5mm_4cm_sphere_Diff,override_1_Diff
0.0,,,,
0.000669,,,,
0.001338,,,,
0.002007,,,,
0.002676,,-0.00013877967202557961,,
0.003345,,-0.00078062965878678,,
0.004014,,-0.0014224796455479805,,-0.009652355055951634
0.004683,,-0.002064329632309181,,-0.04187503735351461
0.005352,,0.002013820380929454,,0.2932032803489223
0.006021,,0.0013719703941682537,,0.2609805980513593
0.00669,,0.0007301204074070533,,0.22875791575379634
0.007359,,8.827042064585289e-05,,0.19653523345623325
0.008028,,-0.00013723095586892775,,0.16431255115867027
0.008697,,-0.00013723095586892775,,0.1320898688611073
0.009366,,-0.00013723095586892775,,0.09986718656354432
0.010035,,-0.00013723095586892775,,0.06764450426598123
0.010704,,-0.00013723095586892775,,0.035421821968418254
0.011373,,-0.00013723095586892775,,0.0031991396708552777
0.012042,,-0.00013723095586892775,,-6.647745885290934e-05
0.012711,,-0.00013723095586892775,,-6.647745885290934e-05
0.01338,,-0.00013723095586892775,,-6.647745885290934e-05
0.014049,,-0.00013723095586892775,,-6.647745885290934e-05
0.014718,,-0.00013723095586892775,,-6.647745885290934e-05
0.015387,,-0.00013723095586892775,,-6.647745885290934e-05
0.016056,,-0.00013723095586892775,,-6.647745885290934e-05
0.016725,,-0.00013723095586892775,,-6.647745885290934e-05
0.017394,,-0.00013723095586892775,,-6.647745885290934e-05
0.018063,,-0.00013723095586892775,,-6.647745885290934e-05
0.018732,,-0.00013723095586892775,,-6.647745885290934e-05
0.019401,,-0.00013723095586892775,,-6.649900044886081e-05
0.02007,,-0.00013723095586892775,,-6.654227770908072e-05
0.020739,,-0.00013723095586892775,,-6.658555496941165e-05
0.021408,,-0.00013723095586892775,,-6.662883222974259e-05
0.022078,,-0.00013723095586892775,,-6.667217417943849e-05
0.022747,,-0.00013723095586892775,,-6.671545143976942e-05
0.023416,,-0.00013723095586892775,,-6.675872869998933e-05
0.024085,,-0.00013723095586892775,,-6.680200596032027e-05
0.024754,,-0.00013723095586892775,,-6.68452832206512e-05
0.025423,,-0.00013723095586892775,,-6.68885604808711e-05
0.026092,,-0.00013723095586892775,,-6.693183774120204e-05
0.026761,,-0.00013723095586892775,,-6.697085843387907e-05
0.02743,,-0.00013723095586892775,,-6.697085843387907e-05
0.028099,,-0.00013723095586892775,,-6.697085843387907e-05
0.028768,,-0.00013723095586892775,,-6.697085843387907e-05
0.029437,,-0.00013723095586892775,,-6.697085843387907e-05
0.030106,,-0.00013723095586892775,,-6.697085843387907e-05
0.030775,,-0.00013723095586892775,,-6.697085843387907e-05
0.031444,,-0.00013723095586892775,,-6.697085843387907e-05
0.032113,,-0.00013723095586892775,,-6.697085843387907e-05
0.032782,,-0.00013723095586892775,,-6.697085843387907e-05
0.033451,,-0.00013723095586892775,,-6.697085843387907e-05
0.03412,,-0.00013723095586892775,,-6.697085843387907e-05
0.034789,,-0.00013723095586892775,,-6.71217792311829e-05
0.035458,,-0.00013723095586892775,,-6.733816588666564e-05
0.036127,,-0.00013723095586892775,,-6.755455254214837e-05
0.036796,,-0.00013723095586892775,,-6.777093919752009e-05
0.037465,,-0.00013723095586892775,,-6.798732585300282e-05
0.038134,,-0.00013723095586892775,,-6.820371250837454e-05
0.038803,,-0.00013723095586892775,,-6.842009916385727e-05
0.039472,,-0.00013723095586892775,,-6.863648581934001e-05
0.040141,,-0.00013723095586892775,,-6.885287247471172e-05
0.04081,,-0.00013723095586892775,,-6.906925913019446e-05
0.041479,,-0.00013723095586892775,,-6.928564578556617e-05
0.042148,,-0.00013723095586892775,,-6.950203244104891e-05
0.042817,,-0.00013723095586892775,,-6.971841909642063e-05
0.043486,,-0.00013723095586892775,,-6.993480575190336e-05
0.044155,,-0.00013723095586892775,,-7.01511924073861e-05
0.044824,,-0.00013723095586892775,,-7.036757906275781e-05
0.045493,,-0.00013723095586892775,,-7.058396571824055e-05
0.046162,,-0.00013723095586892775,,-7.080035237361226e-05
0.046831,,-0.00013723095586892775,,-7.1016739029095e-05
0.0475,,-0.00013723095586892775,,-7.123312568457774e-05
0.048169,,-0.00013723095586892775,,-7.144951233994945e-05
0.048838,,-0.00013723095586892775,,-7.166589899543219e-05
0.049507,,-0.00013723095586892775,,-7.18822856508039e-05
0.050176,,-0.00013723095586892775,,-7.221495830089797e-05
0.050845,,-0.00013723095586892775,,-7.256117694953712e-05
0.051514,,-0.00013723095586892775,,-7.29073955982873e-05
0.052183,,-0.00013723095586892775,,-7.325361424692645e-05
0.052852,,-0.00013723095586892775,,-7.359983289567662e-05
0.053521,,-0.00013723095586892775,,-7.39460515444268e-05
0.05419,,-0.00013723095586892775,,-7.429227019306595e-05
0.054859,,-0.00013723095586892775,,-7.463848884181612e-05
0.055528,,-0.00013723095586892775,,-7.498470749045527e-05
0.056197,,-0.00013723095586892775,,-7.533092613920545e-05
0.056866,,-0.00013723095586892775,,-7.567714478795562e-05
0.057535,,-0.00013723095586892775,,-7.63659587680321e-05
0.058204,,-0.00013723095586892775,,-7.740461329808213e-05
0.058873,,-0.00013723095586892775,,-7.844326782813216e-05
0.059542,,-0.00013723095586892775,,-7.948192235818219e-05
0.060211,,-0.00013723095586892775,,-8.052057688823222e-05
0.06088,,-0.00013723095586892775,,-8.155923141828225e-05
0.061549,,-0.00013723095586892775,,-8.259788594822126e-05
0.062218,,-0.00013723095586892775,,-8.363654047827129e-05
0.062887,,-0.00013723095586892775,,-8.467519500832132e-05
0.063556,,-0.00013723095586892775,,-8.571384953837136e-05
0.064225,,-0.00013723095586892775,,-8.675250406842139e-05
0.064894,,-0.00013723095586892775,,-8.785209585338016e-05
0.065564,,-0.00013723095586892775,,-8.954242969583248e-05
0.066233,,-0.00013723095586892775,,-9.123024065205154e-05
0.066902,,-0.00013723095586892775,,-9.291805160815958e-05
0.067571,,-0.00013723095586892775,,-9.460586256437864e-05
0.06824,,-0.00013723095586892775,,-9.629367352048668e-05
0.068909,,-0.00013723095586892775,,-9.798148447670574e-05
0.069578,,-0.00013723095586892775,,-9.966929543281378e-05
0.070247,,-0.00013723095586892775,,-0.00010135710638903284
0.070916,,-0.00013723095586892775,,-0.00010304491734514087
0.071585,,-0.00013723095586892775,,-0.00010473272830135993
0.072254,,-0.00013723095586892775,,-0.00010642053925746797
0.072923,,-0.00013723095586892775,,-0.00010834879140642073
0.073592,,-0.00013723095586892775,,-0.00011038282525943632
0.074261,,-0.00013723095586892775,,-0.00011241685911256294
