"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Relative Cumulative Volume (fraction 0-1)"
# Values represent fraction of structure volume with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_RelativeCumVolume,CouchSurface_11_RelativeCumVolume,override_1_RelativeCumVolume,PTV_5mm_4cm_sphere_RelativeCumVolume,.GTV_point_source_RelativeCumVolume,OAR_2_1_RelativeCumVolume
2975.248718,0.001459,0.000053,0.002900,0.402011,1.000000,0.000000
3016.571617,0.001423,0.000051,0.002829,0.399293,1.000000,0.000000
3057.894516,0.001393,0.000048,0.002770,0.397798,1.000000,0.000000
3099.217415,0.001361,0.000045,0.002705,0.395488,1.000000,0.000000
3140.540314,0.001324,0.000042,0.002632,0.392634,1.000000,0.000000
3181.863213,0.001295,0.000037,0.002575,0.390731,1.000000,0.000000
3223.186111,0.001272,0.000035,0.002531,0.388828,1.000000,0.000000
3264.509010,0.001245,0.000031,0.002476,0.387469,1.000000,0.000000
3305.831909,0.001219,0.000028,0.002425,0.385839,1.000000,0.000000
3347.154808,0.001194,0.000024,0.002374,0.384344,1.000000,0.000000
3388.477707,0.001172,0.000018,0.002330,0.382849,1.000000,0.000000
3429.800606,0.001142,0.000012,0.002272,0.381897,1.000000,0.000000
3471.123505,0.001118,0.000008,0.002223,0.380674,1.000000,0.000000
3512.446404,0.001099,0.000006,0.002186,0.379587,1.000000,0.000000
3553.769302,0.001076,0.000004,0.002141,0.377820,1.000000,0.000000
3595.092201,0.001056,0.000004,0.002101,0.376189,1.000000,0.000000
3636.415100,0.001038,0.000001,0.002064,0.374966,1.000000,0.000000
3677.737999,0.001022,0.000000,0.002034,0.374015,1.000000,0.000000
3719.060898,0.001003,0.000000,0.001995,0.372384,1.000000,0.000000
3760.383797,0.000986,0.000000,0.001961,0.371161,1.000000,0.000000
3801.706696,0.000969,0.000000,0.001928,0.370617,1.000000,0.000000
3843.029594,0.000953,0.000000,0.001896,0.369122,1.000000,0.000000
3884.352493,0.000942,0.000000,0.001874,0.368714,1.000000,0.000000
3925.675392,0.000931,0.000000,0.001852,0.367355,1.000000,0.000000
3966.998291,0.000915,0.000000,0.001820,0.365724,1.000000,0.000000
4008.321190,0.000900,0.000000,0.001791,0.364229,1.000000,0.000000
4049.644089,0.000887,0.000000,0.001764,0.363414,1.000000,0.000000
4090.966988,0.000874,0.000000,0.001738,0.362327,1.000000,0.000000
4132.289886,0.000864,0.000000,0.001719,0.361783,1.000000,0.000000
4173.612785,0.000854,0.000000,0.001700,0.360424,1.000000,0.000000
4214.935684,0.000843,0.000000,0.001677,0.359609,1.000000,0.000000
4256.258583,0.000830,0.000000,0.001652,0.358385,1.000000,0.000000
4297.581482,0.000819,0.000000,0.001630,0.356890,1.000000,0.000000
4338.904381,0.000809,0.000000,0.001610,0.355939,1.000000,0.000000
4380.227280,0.000802,0.000000,0.001596,0.354852,1.000000,0.000000
4421.550179,0.000790,0.000000,0.001572,0.353357,1.000000,0.000000
4462.873077,0.000779,0.000000,0.001550,0.351862,1.000000,0.000000
4504.195976,0.000769,0.000000,0.001530,0.350095,1.000000,0.000000
4545.518875,0.000761,0.000000,0.001514,0.349280,1.000000,0.000000
4586.841774,0.000752,0.000000,0.001496,0.348600,1.000000,0.000000
4628.164673,0.000743,0.000000,0.001480,0.347785,1.000000,0.000000
4669.487572,0.000734,0.000000,0.001461,0.347105,1.000000,0.000000
4710.810471,0.000726,0.000000,0.001444,0.345746,1.000000,0.000000
4752.133369,0.000720,0.000000,0.001433,0.345067,1.000000,0.000000
4793.456268,0.000712,0.000000,0.001418,0.344523,1.000000,0.000000
4834.779167,0.000706,0.000000,0.001405,0.343028,1.000000,0.000000
4876.102066,0.000697,0.000000,0.001388,0.342077,1.000000,0.000000
4917.424965,0.000690,0.000000,0.001374,0.340989,1.000000,0.000000
4958.747864,0.000682,0.000000,0.001357,0.340174,1.000000,0.000000
5000.070763,0.000676,0.000000,0.001345,0.339087,1.000000,0.000000
5041.393661,0.000669,0.000000,0.001331,0.338135,1.000000,0.000000
5082.716560,0.000663,0.000000,0.001320,0.337592,1.000000,0.000000
5124.039459,0.000655,0.000000,0.001303,0.336504,1.000000,0.000000
5165.362358,0.000651,0.000000,0.001295,0.335825,1.000000,0.000000
5206.685257,0.000645,0.000000,0.001284,0.335553,1.000000,0.000000
5248.008156,0.000640,0.000000,0.001273,0.334738,1.000000,0.000000
5289.331055,0.000633,0.000000,0.001259,0.333786,1.000000,0.000000
5330.653954,0.000626,0.000000,0.001247,0.332563,1.000000,0.000000
5371.976852,0.000620,0.000000,0.001234,0.331884,1.000000,0.000000
5413.299751,0.000615,0.000000,0.001223,0.330932,1.000000,0.000000
5454.622650,0.000607,0.000000,0.001208,0.329981,1.000000,0.000000
5495.945549,0.000602,0.000000,0.001198,0.329166,1.000000,0.000000
5537.268448,0.000598,0.000000,0.001191,0.328622,1.000000,0.000000
5578.591347,0.000593,0.000000,0.001181,0.327399,1.000000,0.000000
5619.914246,0.000586,0.000000,0.001167,0.326311,1.000000,0.000000
5661.237144,0.000581,0.000000,0.001157,0.325224,1.000000,0.000000
5702.560043,0.000576,0.000000,0.001146,0.324137,1.000000,0.000000
5743.882942,0.000573,0.000000,0.001140,0.323050,1.000000,0.000000
5785.205841,0.000569,0.000000,0.001133,0.322234,1.000000,0.000000
5826.528740,0.000564,0.000000,0.001122,0.320603,1.000000,0.000000
5867.851639,0.000559,0.000000,0.001113,0.319516,1.000000,0.000000
5909.174538,0.000556,0.000000,0.001107,0.319380,1.000000,0.000000
5950.497437,0.000552,0.000000,0.001098,0.318837,1.000000,0.000000
5991.820335,0.000547,0.000000,0.001089,0.318157,1.000000,0.000000
6033.143234,0.000543,0.000000,0.001080,0.317342,1.000000,0.000000
6074.466133,0.000539,0.000000,0.001073,0.316390,1.000000,0.000000
6115.789032,0.000535,0.000000,0.001065,0.315575,1.000000,0.000000
6157.111931,0.000532,0.000000,0.001059,0.315031,1.000000,0.000000
6198.434830,0.000528,0.000000,0.001051,0.313808,1.000000,0.000000
6239.757729,0.000524,0.000000,0.001043,0.312993,1.000000,0.000000
6281.080627,0.000520,0.000000,0.001035,0.311905,1.000000,0.000000
6322.403526,0.000517,0.000000,0.001030,0.311226,1.000000,0.000000
6363.726425,0.000514,0.000000,0.001023,0.311090,1.000000,0.000000
6405.049324,0.000511,0.000000,0.001017,0.310003,1.000000,0.000000
6446.372223,0.000508,0.000000,0.001012,0.309459,1.000000,0.000000
6487.695122,0.000504,0.000000,0.001003,0.308236,1.000000,0.000000
6529.018021,0.000502,0.000000,0.000999,0.307692,1.000000,0.000000
6570.340919,0.000499,0.000000,0.000994,0.307285,1.000000,0.000000
6611.663818,0.000495,0.000000,0.000985,0.306605,1.000000,0.000000
6652.986717,0.000491,0.000000,0.000977,0.305246,1.000000,0.000000
6694.309616,0.000487,0.000000,0.000969,0.304566,1.000000,0.000000
6735.632515,0.000483,0.000000,0.000962,0.303207,1.000000,0.000000
6776.955414,0.000481,0.000000,0.000956,0.302528,1.000000,0.000000
6818.278313,0.000477,0.000000,0.000950,0.301577,1.000000,0.000000
