PTV_5mm_4cm_sphere,,
BQML, (cm³),
-19739.8,0.00611229
-19634.1,0
-19528.3,0
-19422.6,0
-19316.9,0
-19211.2,0
-19105.5,0
-18999.7,0
-18894,0
-18788.3,0
-18682.6,0
-18576.9,0
-18471.2,0
-18365.4,0
-18259.7,0
-18154,0.00611229
-18048.3,0.00611229
-17942.6,0
-17836.8,0
-17731.1,0
-17625.4,0.00611229
-17519.7,0
-17414,0
-17308.2,0
-17202.5,0
-17096.8,0
-16991.1,0.00611229
-16885.4,0
-16779.7,0
-16673.9,0
-16568.2,0.00611229
-16462.5,0
-16356.8,0.00611229
-16251.1,0
-16145.3,0
-16039.6,0
-15933.9,0
-15828.2,0.0122246
-15722.5,0
-15616.8,0
-15511,0
-15405.3,0.00611229
-15299.6,0
-15193.9,0
-15088.2,0
-14982.4,0.00611229
-14876.7,0
-14771,0
-14665.3,0
-14559.6,0.00611229
-14453.9,0
-14348.1,0.00611229
-14242.4,0
-14136.7,0.00611229
-14031,0
-13925.3,0
-13819.5,0
-13713.8,0
-13608.1,0
-13502.4,0.0122246
-13396.7,0
-13291,0.00611229
-13185.2,0
-13079.5,0
-12973.8,0
-12868.1,0
-12762.4,0
-12656.6,0
-12550.9,0
-12445.2,0
-12339.5,0.00611229
-12233.8,0.00611229
-12128.1,0.00611229
-12022.3,0
-11916.6,0.00611229
-11810.9,0.00611229
-11705.2,0.00611229
-11599.5,0
-11493.7,0
-11388,0.00611229
-11282.3,0.00611229
-11176.6,0
-11070.9,0.0122246
-10965.1,0
-10859.4,0.0122246
-10753.7,0
-10648,0.00611229
-10542.3,0
-10436.6,0
-10330.8,0
-10225.1,0.00611229
-10119.4,0.00611229
-10013.7,0.00611229
-9907.96,0
-9802.25,0
-9696.53,0.00611229
-9590.81,0.00611229
-9485.09,0
-9379.37,0.0305615
-9273.65,0
-9167.94,0.00611229
-9062.22,0
-8956.5,0
-8850.78,0
-8745.06,0
-8639.34,0
-8533.63,0
-8427.91,0
-8322.19,0
-8216.47,0.0122246
-8110.75,0
-8005.03,0
-7899.32,0
-7793.6,0.0122246
-7687.88,0.00611229
-7582.16,0
-7476.44,0.00611229
-7370.72,0.00611229
-7265.01,0.00611229
-7159.29,0
-7053.57,0
-6947.85,0
-6842.13,0.00611229
-6736.41,0.00611229
-6630.7,0
-6524.98,0.00611229
-6419.26,0.00611229
-6313.54,0.0122246
-6207.82,0
-6102.1,0.0122246
-5996.38,0.00611229
-5890.67,0
-5784.95,0
-5679.23,0.00611229
-5573.51,0.0122246
-5467.79,0.00611229
-5362.07,0
-5256.36,0.00611229
-5150.64,0.00611229
-5044.92,0.0122246
-4939.2,0.0122246
-4833.48,0.00611229
-4727.76,0.00611229
-4622.05,0.0244492
-4516.33,0
-4410.61,0.00611229
-4304.89,0.00611229
