BQML,PTV_5mm_4cm_sphere_Diff,override_1_Diff,OAR_2_1_Diff,.GTV_point_source_Diff
0.0,0.0020269434450246315,0.22271873132207176,0.005169660757333494,
41.322899,0.0020527906945648766,0.0004716216838336895,0.0016735685712464532,
82.645798,0.001895592487560771,-0.003439119183875239,0.004961794457718938,
123.968697,0.0016013942805566117,-0.00568890481594192,0.0038940604639585708,
165.291595,0.0011692730236767535,-0.013392385781811955,-0.003611222423499566,
206.614494,0.0015189431279377663,-0.015144976578890634,0.0027619560662506537,
247.937393,0.0017526567389526404,-0.017798251845711627,-0.0012891703295603851,
289.260292,0.002227726230247362,-0.018536622110087442,0.0023769963322345655,
330.583191,0.005691795721542325,-0.01745687043077125,-0.0001155993453073878,
371.90609,0.0074460415628367915,-0.017322921216283427,0.000971885370044126,
413.228989,0.009999932302506509,-0.016143067172476572,0.00015701878178338985,
454.551888,0.014203742397749797,-0.014284225677886377,-0.00022707464854983955,
495.874786,0.014128350373801779,-0.01324672508932953,8.825528825718784e-05,
537.197685,0.014732958061892787,-0.011871825946937038,-0.0001712548339076296,
578.520584,0.015695472557288093,-0.01028115804285882,-3.058567518155614e-05,
619.843483,0.019166873338990142,-0.009332108755268263,-6.0658584902908985e-05,
661.166382,0.02807527412069233,-0.008353438305320166,-0.00010365281081147447,
702.489281,0.029469235781783065,-0.007293339454621819,-8.173231149726998e-05,
743.81218,0.026173031802350533,-0.0067056711580288884,-6.938357697042902e-05,
785.135078,0.02792588662312756,-0.0060931475903776115,0.0001352243178348849,
826.457977,0.029848002721788003,-0.005451191703315497,-2.485627169021565e-07,
867.780876,0.028100118820448383,-0.0051092045169586035,2.587937456274142e-05,
909.103775,0.025170779223862128,-0.004719585524992655,3.8779098776413334e-07,
950.426674,0.022598974271423544,-0.004417781556800445,3.586926437156024e-07,
991.749573,0.022142682589583962,-0.004175974957252221,2.6874995464349488e-05,
1033.072472,0.02413622598321108,-0.003958128281469521,3.421695830105147e-05,
1074.39537,0.022732769808764708,-0.0037818255116775033,3.702356400703006e-05,
1115.718269,0.021978882438531855,-0.0036229551235780286,-1.4674475613991877e-07,
1157.041168,0.018278052988186966,-0.0034867595411687408,3.4656854543240086e-05,
1198.364067,0.013840413822838404,-0.003414282478957387,6.954410502090468e-05,
1239.686966,0.013142200134083959,-0.0033250228725967626,0.00010451500667685645,
1281.009865,0.01067698644532944,-0.0032228009392637133,-1.694084825564976e-06,
1322.332764,0.01068855499676613,-0.0031820439839924906,3.4678608417709235e-05,
1363.655663,0.009999751937925905,-0.0031124328932468984,1.7670134799287196e-07,
1404.978561,0.009070839203540237,-0.0030353675476835727,6.923125418223028e-05,
1446.30146,0.008380842700564939,-0.002989632121032729,8.022692265924466e-05,
1487.624359,0.010001846197589481,-0.002921363350693494,-2.47558214019096e-05,
1528.947258,0.009102614827254274,-0.00288403250282582,5.7086148860235365e-05,
1570.270157,0.008022590738928526,-0.002827919498927795,1.226558383700632e-05,
1611.593056,0.007757566650602676,-0.0027761563188557657,6.131130555055804e-05,
1652.915955,0.00835584535434375,-0.0027324730489061977,1.6981097327589678e-07,
1694.238853,0.0069209407916505095,-0.0026782774285697575,6.445544424262179e-05,
1735.561752,0.0063644334931382,-0.0026186398450443,3.22575748519171e-05,
1776.884651,0.007108247329386863,-0.0025771476154194985,-1.0984357262644722e-07,
1818.20755,0.00717306116563543,-0.0025269989356823544,1.121819037565178e-07,
1859.530449,0.007373257463572369,-0.002485981287166649,1.3045055324132802e-06,
1900.853348,0.006622553723786506,-0.0024407369390572475,3.486145541632934e-05,
1942.176247,0.0066150803321173846,-0.002398079161810198,3.41213928899947e-06,
1983.499146,0.0058983214216306035,-0.0023661193392595713,3.8898726180838057e-07,
2024.822044,0.006813562613986579,-0.0023232716433581845,5.224091458947128e-06,
2066.144943,0.006132719131634989,-0.0022902656640549444,,
2107.467842,0.005606088291227773,-0.0022488733911019245,,
2148.790741,0.005542694560021266,-0.002208463598469277,,
2190.11364,0.005086155513345347,-0.0021822983128931377,,
2231.436539,0.00449261646666943,-0.0021392063818822314,,
2272.759438,0.004150281455282567,-0.002097483163111027,,
2314.082336,0.004112329173935891,-0.0020640257136965443,,
2355.405235,0.0031238295757831658,-0.002031985893035921,,
2396.728134,0.0030728608979990746,-0.001996548814898958,,
2438.051033,0.003429892220214892,-0.0019617411206284473,,
2479.373932,0.0032307191115129585,-0.0019332977741307713,,
2520.696831,0.0028133258635943403,-0.0019028133966126934,,
2562.01973,0.0029389326156756823,-0.0018779044967973204,,
2603.342628,0.0027886159728197635,-0.001848280311665457,,
2644.665527,0.002619864587655951,-0.0018134548651637375,,
2685.988426,0.0039425985602157265,-0.0017747451487408349,,
2727.311325,0.0032128660694045186,-0.0017526514336456843,,
2768.634224,0.002483133578593366,-0.0017326188000476705,,
2809.957123,0.002962722062733625,-0.0017035195238865404,,
2851.280022,0.0032073564001655064,-0.0016874890610713584,,
